plate,conc,abs1,abs2,abs3,abs4,abs5,abs6
P1_19H,0.25,1.108,1.560,1.192,1.463,1.688,1.578
P1_19H,0.125,0.609,0.770,0.630,0.830,0.837,0.819
P1_19H,0.0625,0.295,0.394,0.389,NA,0.442,NA
P1_19H,0.03125,0.198,0.251,0.243,0.243,0.268,0.255
P1_19H,0.015625,0.121,0.142,0.134,0.149,0.156,NA
P1_19H,0.007813,0.090,0.102,0.098,0.101,NA,0.101
P1_19H,0.003906,0.089,0.091,0.071,0.083,0.081,0.076
P1_19H,0,NA,0.059,0.053,0.055,0.055,NA
P2_19H,0.25,0.947,1.347,0.996,0.938,1.350,1.086
P2_19H,0.125,0.440,NA,0.479,0.436,0.567,0.580
P2_19H,0.0625,0.258,0.355,0.271,0.257,0.283,0.287
P2_19H,0.03125,0.148,0.191,0.159,0.180,0.172,0.182
P2_19H,0.015625,0.102,0.134,0.107,0.116,NA,0.114
P2_19H,0.007813,0.081,0.089,0.081,0.076,0.079,0.084
P2_19H,0.003906,NA,0.082,0.066,0.066,0.066,0.065
P2_19H,0,0.055,0.053,0.052,0.061,0.066,0.052
P3_19H,0.25,1.387,1.546,1.839,1.761,1.696,1.764
P3_19H,0.125,0.712,0.750,0.843,0.925,0.946,0.896
P3_19H,0.0625,0.401,0.393,0.452,0.492,0.449,0.463
P3_19H,0.03125,0.211,0.203,0.248,0.233,0.267,0.240
P3_19H,0.015625,NA,0.141,0.145,0.171,0.153,0.163
P3_19H,0.007813,0.087,0.108,NA,0.097,0.102,0.131
P3_19H,0.003906,0.071,NA,0.102,0.077,0.075,0.108
P3_19H,0,0.051,0.049,0.061,0.051,0.051,0.058
P4_21HS,0.25,1.480,1.484,1.588,1.561,1.653,1.456
P4_21HS,0.125,0.744,0.760,0.818,0.949,0.749,0.801
P4_21HS,0.0625,0.394,0.399,0.396,0.412,0.439,NA
P4_21HS,0.03125,0.222,0.217,0.219,0.239,0.235,0.315
P4_21HS,0.015625,0.126,0.140,0.149,0.148,0.152,0.152
P4_21HS,0.007813,0.088,0.091,0.101,0.097,0.113,NA
P4_21HS,0.003906,0.074,0.062,0.073,0.083,0.072,0.082
P4_21HS,0,0.051,0.051,0.051,0.051,0.064,0.056
P5_21S,0.25,1.385,1.387,1.278,1.265,1.003,1.241
P5_21S,0.125,0.660,0.642,NA,0.624,0.526,0.686
P5_21S,0.0625,0.366,0.298,0.333,0.365,0.293,0.373
P5_21S,0.03125,0.223,0.211,0.206,0.212,0.184,0.211
P5_21S,0.015625,0.147,0.147,0.128,0.124,0.123,0.144
P5_21S,0.007813,0.095,0.087,0.086,0.075,0.080,0.082
P5_21S,0.003906,0.071,0.086,0.092,0.068,0.068,0.070
P5_21S,0,0.051,0.050,0.050,0.062,0.051,0.053
P6_21S,0.25,1.781,1.109,0.904,1.227,1.246,1.041
P6_21S,0.125,0.789,0.652,0.413,NA,0.698,NA
P6_21S,0.0625,0.431,0.382,NA,0.322,0.356,0.232
P6_21S,0.03125,0.247,0.232,0.118,0.145,0.209,0.153
P6_21S,0.015625,0.141,0.167,0.094,0.095,0.158,0.11
P6_21S,0.007813,0.091,0.089,0.068,0.066,0.083,0.082
P6_21S,0.003906,0.074,0.073,0.065,0.054,0.077,0.055
P6_21S,0,0.051,0.067,0.048,0.055,0.051,0.05
P7_21S,0.25,NA,NA,NA,1.173,1.214,1.32
P7_21S,0.125,NA,NA,NA,0.652,0.689,0.715
P7_21S,0.0625,NA,NA,NA,0.335,0.354,0.403
P7_21S,0.03125,NA,NA,NA,0.19,0.225,0.249
P7_21S,0.015625,NA,NA,NA,0.12,0.141,0.148
P7_21S,0.007813,NA,NA,NA,0.082,0.091,0.096
P7_21S,0.003906,NA,NA,NA,0.064,0.069,0.072
P7_21S,0,NA,NA,NA,0.049,0.049,0.051