plate,conc,abs1,abs2,abs3
P10_16H,0.1,0.749,0.749,0.749
P10_16H,0.055556,0.628,0.628,0.628
P10_16H,0.030864,0.537,0.537,0.537
P10_16H,0.017147,0.482,0.482,0.482
P10_16H,0.009526,0.433,0.433,0.433
P10_16H,0.005292,0.392,0.392,0.392
P10_16H,0.00294,0.363,0.363,0.363
P10_16H,0,0.345,0.345,0.345
P10_19H,0.1,0.771,0.771,0.771
P10_19H,0.055556,0.578,0.578,0.578
P10_19H,0.030864,0.507,0.507,0.507
P10_19H,0.017147,0.461,0.461,0.461
P10_19H,0.009526,0.412,0.412,0.412
P10_19H,0.005292,0.367,0.367,0.367
P10_19H,0.00294,0.34,0.34,0.34
P10_19H,0,0.323,0.323,0.323
P10_19S,0.1,0.771,0.708,0.705
P10_19S,0.055556,0.617,0.612,0.596
P10_19S,0.030864,0.522,0.54,0.535
P10_19S,0.017147,0.469,0.481,0.476
P10_19S,0.009526,0.409,0.412,0.411
P10_19S,0.005292,0.364,0.352,0.372
P10_19S,0.00294,0.337,0.33,0.34
P10_19S,0,0.302,0.31,0.318
P10_26S,0.1,0.669,0.669,0.669
P10_26S,0.055556,0.582,0.582,0.582
P10_26S,0.030864,0.477,0.477,0.477
P10_26S,0.017147,0.417,0.417,0.417
P10_26S,0.009526,0.36,0.36,0.36
P10_26S,0.005292,0.284,0.284,0.284
P10_26S,0.00294,0.264,0.264,0.264
P10_26S,0,0.232,0.232,0.232
P10_26S2,0.1,0.758,0.747,0.737
P10_26S2,0.055556,0.579,0.615,0.627
P10_26S2,0.030864,0.519,0.532,0.521
P10_26S2,0.017147,0.471,0.481,0.461
P10_26S2,0.009526,0.43,0.412,0.397
P10_26S2,0.005292,0.397,0.372,0.373
P10_26S2,0.00294,0.357,0.344,0.321
P10_26S2,0,0.317,0.336,0.312
P11_06HS,0.1,0.652,0.645,0.646
P11_06HS,0.055556,0.579,0.559,0.557
P11_06HS,0.030864,0.476,0.489,0.486
P11_06HS,0.017147,0.382,0.382,0.377
P11_06HS,0.009526,0.322,0.322,0.314
P11_06HS,0.005292,0.276,0.275,0.267
P11_06HS,0.00294,0.24,0.237,0.232
P11_06HS,0,0.212,0.21,0.197